1239	2015-05-01 00:07	10	46	20,1	---	---	967,4	---	---	---	1012,6	---	---	0,0	0,0	15,6	15,6	15,6	---	---
1240	2015-05-01 00:17	10	46	20,1	---	---	967,3	---	---	---	1012,5	---	---	0,0	0,0	15,6	15,6	15,6	---	---
1241	2015-05-01 00:27	10	46	20,1	83	7,6	967,3	1,0	1,7	E	1012,5	4,9	7,6	0,0	0,0	15,6	15,6	15,6	1	2
1242	2015-05-01 00:37	10	46	20,1	84	7,6	967,3	2,0	3,1	E	1012,5	5,1	6,4	0,0	0,0	15,6	15,6	15,6	2	2
1243	2015-05-01 00:47	10	46	20,1	85	7,5	967,0	2,0	3,1	E	1012,2	5,2	6,3	0,0	0,0	15,6	15,6	15,6	2	2
1244	2015-05-01 00:57	10	46	20,0	85	7,4	967,1	1,4	2,0	E	1012,3	5,1	7,4	0,0	0,0	15,6	15,6	15,6	1	2
1245	2015-05-01 01:07	10	47	20,0	86	7,3	967,1	1,0	1,7	E	1012,3	5,1	7,3	0,0	0,0	15,6	15,6	15,6	1	2
1246	2015-05-01 01:17	10	46	20,0	86	7,2	967,1	0,0	0,0	E	1012,3	5,0	7,2	0,0	0,0	15,6	15,6	15,6	0	0
1247	2015-05-01 01:27	10	46	20,0	85	7,0	967,1	0,0	0,0	SE	1012,3	4,7	7,0	0,0	0,0	15,6	15,6	15,6	0	0
1248	2015-05-01 01:37	10	46	19,9	85	6,8	967,0	0,0	0,0	E	1012,2	4,5	6,8	0,0	0,0	15,6	15,6	15,6	0	0
1249	2015-05-01 01:47	10	46	19,9	86	6,6	966,8	0,3	1,0	SE	1012,0	4,4	6,6	0,0	0,0	15,6	15,6	15,6	1	1
1250	2015-05-01 01:57	10	46	19,8	86	6,6	966,8	0,0	0,0	SE	1012,0	4,4	6,6	0,0	0,0	15,6	15,6	15,6	0	0
1251	2015-05-01 02:07	10	46	19,8	87	6,6	966,7	1,4	2,4	E	1011,9	4,6	6,6	0,0	0,0	15,6	15,6	15,6	1	2
1252	2015-05-01 02:17	10	46	19,8	88	6,6	966,5	1,4	1,7	E	1011,7	4,8	6,6	0,0	0,0	15,6	15,6	15,6	1	2
1253	2015-05-01 02:27	10	46	19,8	88	6,6	966,4	1,0	2,0	SE	1011,6	4,8	6,6	0,0	0,0	15,6	15,6	15,6	1	2
1254	2015-05-01 02:37	10	46	19,7	89	6,5	966,3	0,7	1,7	E	1011,5	4,8	6,5	0,0	0,0	15,6	15,6	15,6	1	2
1255	2015-05-01 02:47	10	46	19,7	89	6,5	966,2	0,7	1,4	E	1011,4	4,8	6,5	0,0	0,0	15,6	15,6	15,6	1	1
1256	2015-05-01 02:57	10	46	19,7	89	6,5	966,0	1,0	2,4	S	1011,2	4,8	6,5	0,0	0,0	15,6	15,6	15,6	1	2
1257	2015-05-01 03:07	10	46	19,7	89	6,4	965,9	1,7	2,7	E	1011,1	4,7	6,4	0,0	0,0	15,6	15,6	15,6	2	2
1258	2015-05-01 03:17	10	46	19,6	89	6,3	965,7	1,4	2,4	E	1010,9	4,6	6,3	0,0	0,0	15,6	15,6	15,6	1	2
1259	2015-05-01 03:27	10	46	19,6	90	6,2	965,5	1,7	2,7	E	1010,7	4,7	6,2	0,0	0,0	15,6	15,6	15,6	2	2
1260	2015-05-01 03:37	10	46	19,6	90	6,1	965,5	0,7	1,4	E	1010,7	4,6	6,1	0,0	0,0	15,6	15,6	15,6	1	1
1261	2015-05-01 03:47	10	46	19,5	90	5,9	965,2	1,0	1,7	SSE	1010,4	4,4	5,9	0,0	0,0	15,6	15,6	15,6	1	2
1262	2015-05-01 03:57	10	46	19,5	90	5,9	965,4	1,4	2,0	E	1010,6	4,4	5,9	0,0	0,0	15,6	15,6	15,6	1	2
1263	2015-05-01 04:07	10	46	19,5	91	6,0	965,4	0,3	1,0	SSE	1010,6	4,6	6,0	0,0	0,0	15,6	15,6	15,6	1	1
1264	2015-05-01 04:17	10	46	19,5	91	6,1	965,4	0,0	0,0	S	1010,6	4,7	6,1	0,0	0,0	15,6	15,6	15,6	0	0
1265	2015-05-01 04:27	10	46	19,4	91	6,1	965,3	0,0	0,0	S	1010,5	4,7	6,1	0,0	0,0	15,6	15,6	15,6	0	0
1266	2015-05-01 04:37	10	46	19,4	91	6,1	965,3	0,0	0,0	S	1010,5	4,7	6,1	0,0	0,0	15,6	15,6	15,6	0	0
1267	2015-05-01 04:47	10	46	19,4	91	6,2	965,1	0,0	0,0	N	1010,3	4,8	6,2	0,0	0,0	15,6	15,6	15,6	0	0
1268	2015-05-01 04:57	10	46	19,3	91	6,2	965,0	0,7	1,0	SE	1010,2	4,8	6,2	0,0	0,0	15,6	15,6	15,6	1	1
1269	2015-05-01 05:07	10	46	19,3	91	6,2	964,9	0,7	1,4	SEE	1010,1	4,8	6,2	0,0	0,0	15,6	15,6	15,6	1	1
1270	2015-05-01 05:17	10	46	19,3	92	6,3	964,8	1,0	1,7	E	1010,0	5,1	6,3	0,0	0,0	15,6	15,6	15,6	1	2
1271	2015-05-01 05:27	10	47	19,3	92	6,3	964,8	1,0	1,7	SE	1010,0	5,1	6,3	0,0	0,0	15,6	15,6	15,6	1	2
1272	2015-05-01 05:37	10	47	19,3	---	---	964,8	---	---	---	1010,0	---	---	0,0	0,0	15,6	15,6	15,6	---	---
1273	2015-05-01 05:47	10	47	19,3	92	6,4	964,8	1,0	1,7	SEE	1010,0	5,2	6,4	0,0	0,0	15,6	15,6	15,6	1	2
1274	2015-05-01 05:57	10	47	19,2	92	6,5	964,7	0,0	0,0	E	1009,9	5,3	6,5	0,0	0,0	15,6	15,6	15,6	0	0
1275	2015-05-01 06:07	10	47	19,2	92	6,5	964,8	0,0	0,0	NE	1010,0	5,3	6,5	0,0	0,0	15,6	15,6	15,6	0	0
1276	2015-05-01 06:17	10	47	19,2	92	6,5	964,6	0,0	0,0	NE	1009,8	5,3	6,5	0,0	0,0	15,6	15,6	15,6	0	0
1277	2015-05-01 06:27	10	47	19,2	92	6,6	964,4	0,0	0,0	NE	1009,6	5,4	6,6	0,0	0,0	15,6	15,6	15,6	0	0
1278	2015-05-01 06:37	10	47	19,2	92	6,9	964,1	0,7	1,4	SE	1009,3	5,7	6,9	0,0	0,0	15,6	15,6	15,6	1	1
1279	2015-05-01 06:47	10	47	19,2	92	8,1	964,1	1,0	1,7	E	1009,3	6,9	8,1	0,0	0,0	15,6	15,6	15,6	1	2
1280	2015-05-01 06:57	10	47	19,2	90	9,7	964,1	1,0	2,4	E	1009,3	8,2	9,7	0,0	0,0	15,6	15,6	15,6	1	2
1281	2015-05-01 07:07	10	47	19,1	86	9,4	964,2	1,4	2,0	E	1009,4	7,2	9,4	0,0	0,0	15,6	15,6	15,6	1	2
1282	2015-05-01 07:17	10	47	19,1	86	8,8	964,1	1,0	1,7	E	1009,3	6,6	8,8	0,0	0,0	15,6	15,6	15,6	1	2
1283	2015-05-01 07:27	10	47	19,1	86	8,9	964,2	1,0	1,7	SE	1009,4	6,7	8,9	0,0	0,0	15,6	15,6	15,6	1	2
1284	2015-05-01 07:37	10	47	19,1	86	8,7	964,2	0,0	0,0	E	1009,4	6,5	8,7	0,0	0,0	15,6	15,6	15,6	0	0
1285	2015-05-01 07:47	10	47	19,1	87	8,8	964,0	0,0	0,0	E	1009,2	6,8	8,8	0,0	0,0	15,6	15,6	15,6	0	0
1286	2015-05-01 07:57	10	47	19,1	87	9,0	964,0	0,7	1,0	E	1009,2	7,0	9,0	0,0	0,0	15,6	15,6	15,6	1	1
1287	2015-05-01 08:07	10	47	19,1	87	9,1	964,0	0,3	1,0	SE	1009,2	7,1	9,1	0,0	0,0	15,6	15,6	15,6	1	1
1288	2015-05-01 08:17	10	47	19,1	87	9,3	964,0	0,7	1,4	SE	1009,2	7,3	9,3	0,0	0,0	15,6	15,6	15,6	1	1
1289	2015-05-01 08:27	10	47	19,1	86	9,6	964,1	0,7	1,4	E	1009,3	7,4	9,6	0,0	0,0	15,6	15,6	15,6	1	1
1290	2015-05-01 08:37	10	47	19,1	86	9,9	964,1	0,0	0,0	E	1009,3	7,7	9,9	0,0	0,0	15,6	15,6	15,6	0	0
1291	2015-05-01 08:47	10	47	19,1	86	10,3	964,3	0,0	0,0	E	1009,5	8,1	10,3	0,0	0,0	15,6	15,6	15,6	0	0
1292	2015-05-01 08:57	10	47	19,0	85	10,6	964,4	0,0	0,0	NE	1009,6	8,2	10,6	0,0	0,0	15,6	15,6	15,6	0	0
