1519	2017-03-01 00:01	10	45	20.0	---	---	949.9	---	---	---	994.6	---	---	0.0	0.0	6.3	15.3	15.3	---	---
1520	2017-03-01 00:11	10	45	20.0	---	---	950.0	---	---	---	994.7	---	---	0.0	0.0	6.3	15.3	15.3	---	---
1521	2017-03-01 00:21	10	45	20.0	71	9.6	950.0	1.4	3.1	SEE	994.7	4.6	9.6	0.0	0.0	6.3	15.3	15.3	1	2
1522	2017-03-01 00:31	10	45	20.0	72	9.4	950.1	1.0	2.0	N	994.8	4.6	9.4	0.3	0.3	6.6	15.6	15.6	1	2
1523	2017-03-01 00:41	10	45	20.0	72	9.4	950.1	1.0	2.4	N	994.8	4.6	9.4	0.6	0.6	6.9	15.9	15.9	1	2
1524	2017-03-01 00:51	10	45	20.0	73	9.1	950.5	2.0	4.1	S	995.2	4.5	7.9	0.9	0.9	7.2	16.2	16.2	2	3
1525	2017-03-01 01:01	10	45	20.0	77	8.8	950.4	5.1	7.8	SW	995.1	5.0	2.5	1.2	1.2	7.5	16.5	16.5	3	4
1526	2017-03-01 01:11	10	45	19.9	77	8.8	950.7	2.4	3.7	W	995.4	5.0	6.7	1.2	1.2	7.5	16.5	16.5	2	3
1527	2017-03-01 01:21	10	45	19.9	82	7.8	951.0	3.7	5.8	NW	995.7	4.9	3.2	1.5	1.5	7.8	16.8	16.8	3	4
1528	2017-03-01 01:31	10	45	19.9	83	7.4	951.2	1.0	3.1	W	995.9	4.7	7.4	1.5	1.8	8.1	17.1	17.1	1	2
1529	2017-03-01 01:41	10	45	19.9	84	7.2	951.2	1.4	2.0	SW	995.9	4.7	7.2	1.2	1.8	8.1	17.1	17.1	1	2
1530	2017-03-01 01:51	10	45	19.9	85	6.9	951.4	0.3	1.7	S	996.1	4.6	6.9	0.9	1.8	8.1	17.1	17.1	1	2
1531	2017-03-01 02:01	10	45	19.9	85	6.7	951.5	0.0	1.0	S	996.2	4.4	6.7	0.9	2.1	8.4	17.4	17.4	0	1
1532	2017-03-01 02:11	10	45	19.9	85	6.7	951.8	0.7	1.7	S	996.5	4.4	6.7	0.9	2.1	8.4	17.4	17.4	1	2
1533	2017-03-01 02:21	10	45	19.8	85	6.3	951.8	0.0	0.0	S	996.5	4.0	6.3	0.9	2.4	8.7	17.7	17.7	0	0
1534	2017-03-01 02:31	10	45	19.8	85	6.2	951.9	0.0	0.0	S	996.6	3.9	6.2	0.6	2.4	8.7	17.7	17.7	0	0
1535	2017-03-01 02:41	10	45	19.8	85	6.0	951.9	0.3	1.4	SSW	996.6	3.7	6.0	0.6	2.4	8.7	17.7	17.7	1	1
1536	2017-03-01 02:51	10	45	19.8	86	5.9	952.1	0.3	1.4	SW	996.8	3.7	5.9	0.6	2.4	8.7	17.7	17.7	1	1
1537	2017-03-01 03:01	10	45	19.8	86	5.8	952.3	0.0	0.7	SWW	997.0	3.6	5.8	0.3	2.4	8.7	17.7	17.7	0	1
1538	2017-03-01 03:11	10	45	19.8	87	5.8	952.5	0.3	1.4	SW	997.2	3.8	5.8	0.3	2.4	8.7	17.7	17.7	1	1
1539	2017-03-01 03:21	10	45	19.8	87	5.6	952.6	2.0	3.1	NW	997.3	3.6	4.3	0.0	2.4	8.7	17.7	17.7	2	2
1540	2017-03-01 03:31	10	45	19.8	87	5.5	952.6	1.4	2.4	W	997.3	3.5	5.5	0.0	2.4	8.7	17.7	17.7	1	2
1541	2017-03-01 03:41	10	45	19.7	87	5.4	952.6	0.3	2.0	SW	997.3	3.4	5.4	0.0	2.4	8.7	17.7	17.7	1	2
1542	2017-03-01 03:51	10	45	19.7	88	5.3	952.6	1.7	2.7	NW	997.3	3.5	5.3	0.0	2.4	8.7	17.7	17.7	2	2
1543	2017-03-01 04:01	10	45	19.7	88	5.3	952.7	0.0	0.3	SW	997.4	3.5	5.3	0.0	2.4	8.7	17.7	17.7	0	1
1544	2017-03-01 04:11	10	45	19.7	88	5.3	952.8	1.7	2.4	W	997.5	3.5	5.3	0.0	2.4	8.7	17.7	17.7	2	2
