NO.,?as,Interval,Vnit?ní teplota(°C),Vnit?ní vlhkost(%),Venkovní teplota(°C),Venkovní vlhkost(%),Relativní tlak vzduchu(hpa),Absolutní tlak vzduchu(hpa),Rychlost v?tru(m/s),Nárazy v?tru(m/s),Sm?r v?tru,Rosný bod(°C),WindChill(°C),Hodinový úhrn srážek(mm),Denní úhrn srážek(mm),Týdenní úhrn srážek(mm),M?sí?ní úhrn srážek(mm),Celkový úhrn srážek(mm)
1, 01.01.2019 0:13:03,10, 19.3,46, -0.9,99, 1024.3, 977.5, 0.0, 0.0, W, -1.0, -0.9, 0.00, 0.00, 10.20, 0.00, 28.20
2, 01.01.2019 0:23:03,10, 19.3,46, -0.8,99, 1024.3, 977.5, 0.0, 0.0, W, -0.9, -0.8, 0.00, 0.00, 10.20, 0.00, 28.20
3, 01.01.2019 0:33:03,10, 19.3,46, -1.0,99, 1024.3, 977.5, 0.0, 0.0, W, -1.1, -1.0, 0.00, 0.00, 10.20, 0.00, 28.20
4, 01.01.2019 0:43:03,10, 19.3,46, -1.1,99, 1024.3, 977.5, 0.0, 0.0, W, -1.2, -1.1, 0.00, 0.00, 10.20, 0.00, 28.20
5, 01.01.2019 0:53:03,10, 19.3,46, -1.3,99, 1024.0, 977.2, 0.0, 0.0, W, -1.4, -1.3, 0.00, 0.00, 10.20, 0.00, 28.20
6, 01.01.2019 1:03:03,10, 19.3,46, -1.3,99, 1024.2, 977.4, 0.0, 0.0, W, -1.4, -1.3, 0.00, 0.00, 10.20, 0.00, 28.20
7, 01.01.2019 1:13:03,10, 19.2,46, -1.3,99, 1024.1, 977.3, 0.0, 0.0, W, -1.4, -1.3, 0.00, 0.00, 10.20, 0.00, 28.20
8, 01.01.2019 1:23:03,10, 19.2,46, -1.2,99, 1024.1, 977.3, 0.0, 0.0, W, -1.3, -1.2, 0.00, 0.00, 10.20, 0.00, 28.20
9, 01.01.2019 1:33:03,10, 19.2,46, -1.1,99, 1024.2, 977.4, 0.0, 0.0, W, -1.2, -1.1, 0.00, 0.00, 10.20, 0.00, 28.20
10, 01.01.2019 1:43:03,10, 19.2,46, -1.0,99, 1024.2, 977.4, 0.0, 0.0, W, -1.1, -1.0, 0.00, 0.00, 10.20, 0.00, 28.20
11, 01.01.2019 1:53:03,10, 19.1,46, -1.0,99, 1024.2, 977.4, 0.0, 0.0, W, -1.1, -1.0, 0.00, 0.00, 10.20, 0.00, 28.20
12, 01.01.2019 2:03:03,10, 19.1,46, -0.9,99, 1024.1, 977.3, 0.0, 0.0, W, -1.0, -0.9, 0.00, 0.00, 10.20, 0.00, 28.20
13, 01.01.2019 2:13:03,10, 19.1,46, -0.9,99, 1024.2, 977.4, 0.0, 0.0, W, -1.0, -0.9, 0.00, 0.00, 10.20, 0.00, 28.20
14, 01.01.2019 2:23:03,10, 19.1,46, -1.0,99, 1024.1, 977.3, 0.0, 0.0, W, -1.1, -1.0, 0.00, 0.00, 10.20, 0.00, 28.20
15, 01.01.2019 2:33:03,10, 19.1,46, -1.2,99, 1023.9, 977.1, 0.7, 1.4, W, -1.3, -1.2, 0.00, 0.00, 10.20, 0.00, 28.20
16, 01.01.2019 2:43:03,10, 19.1,45, -1.3,99, 1023.8, 977.0, 0.0, 0.0, W, -1.4, -1.3, 0.00, 0.00, 10.20, 0.00, 28.20
17, 01.01.2019 2:53:03,10, 19.1,45, -1.4,99, 1023.7, 976.9, 0.0, 0.0, W, -1.5, -1.4, 0.00, 0.00, 10.20, 0.00, 28.20
18, 01.01.2019 3:03:03,10, 19.0,45, -1.4,99, 1023.6, 976.8, 0.0, 0.0, W, -1.5, -1.4, 0.00, 0.00, 10.20, 0.00, 28.20
19, 01.01.2019 3:13:03,10, 19.0,45, -1.3,99, 1023.6, 976.8, 0.0, 0.0, W, -1.4, -1.3, 0.00, 0.00, 10.20, 0.00, 28.20
20, 01.01.2019 3:23:03,10, 19.0,46, -1.3,99, 1023.4, 976.6, 0.0, 0.0, W, -1.4, -1.3, 0.00, 0.00, 10.20, 0.00, 28.20
21, 01.01.2019 3:33:03,10, 19.0,46, -1.3,99, 1023.3, 976.5, 0.0, 0.0, W, -1.4, -1.3, 0.00, 0.00, 10.20, 0.00, 28.20
22, 01.01.2019 3:43:03,10, 19.0,46, -1.2,99, 1023.1, 976.3, 0.7, 1.0, W, -1.3, -1.2, 0.00, 0.00, 10.20, 0.00, 28.20
23, 01.01.2019 3:53:03,10, 18.9,46, -1.2,99, 1022.8, 976.0, 0.7, 1.4, W, -1.3, -1.2, 0.00, 0.00, 10.20, 0.00, 28.20
24, 01.01.2019 4:03:03,10, 18.9,45, -1.2,99, 1022.5, 975.7, 0.7, 1.4, W, -1.3, -1.2, 0.00, 0.00, 10.20, 0.00, 28.20
25, 01.01.2019 4:13:03,10, 18.9,45, -1.1,99, 1022.4, 975.6, 0.0, 0.0, W, -1.2, -1.1, 0.00, 0.00, 10.20, 0.00, 28.20
26, 01.01.2019 4:23:03,10, 18.9,45, -1.1,99, 1022.2, 975.4, 0.0, 0.0, W, -1.2, -1.1, 0.00, 0.00, 10.20, 0.00, 28.20
27, 01.01.2019 4:33:03,10, 18.9,45, -0.9,99, 1022.1, 975.3, 0.7, 1.4, W, -1.0, -0.9, 0.00, 0.00, 10.20, 0.00, 28.20
28, 01.01.2019 4:43:03,10, 18.9,45, -0.9,99, 1021.9, 975.1, 0.0, 0.0, W, -1.0, -0.9, 0.00, 0.00, 10.20, 0.00, 28.20
