NO.,Čas,Interval,Vnitřní teplota(°C),Vnitřní vlhkost(%),Venkovní teplota(°C),Venkovní vlhkost(%),Relativní tlak vzduchu(hpa),Absolutní tlak vzduchu(hpa),Rychlost větru(m/s),Nárazy větru(m/s),Směr větru,Rosný bod(°C),WindChill(°C),Hodinový úhrn srážek(mm),Denní úhrn srážek(mm),Týdenní úhrn srážek(mm),Měsíční úhrn srážek(mm),Celkový úhrn srážek(mm)
1, 12.12.2018 10:43:03,30, 21.5,43, 2.0,99, 1012.7, 965.9, 0.0, 0.0, W, 1.9, 2.0, 0.00, 0.00, 0.00, 0.00, 0.00
2, 12.12.2018 10:53:03,10, 21.4,42, 1.7,99, 1012.8, 966.0, 0.0, 0.0, W, 1.6, 1.7, 0.00, 0.00, 0.00, 0.00, 0.00
3, 12.12.2018 11:03:03,10, 21.4,42, 1.5,99, 1012.8, 966.0, 0.0, 0.0, W, 1.4, 1.5, 0.00, 0.00, 0.00, 0.00, 0.00
4, 12.12.2018 11:13:03,10, 21.3,42, 1.4,99, 1012.8, 966.0, 0.0, 0.0, W, 1.3, 1.4, 0.00, 0.00, 0.00, 0.00, 0.00
5, 12.12.2018 11:23:03,10, 21.3,42, 1.4,99, 1012.8, 966.0, 0.0, 0.0, SE, 1.3, 1.4, 0.00, 0.00, 0.00, 0.00, 0.00
6, 12.12.2018 11:33:03,10, 21.3,42, 1.2,99, 1012.8, 966.0, 0.0, 0.0, SW, 1.1, 1.2, 0.00, 0.00, 0.00, 0.00, 0.00
7, 12.12.2018 11:43:03,10, 21.3,42, 1.1,99, 1012.8, 966.0, 0.0, 0.0, NE, 1.0, 1.1, 0.00, 0.00, 0.00, 0.00, 0.00
8, 12.12.2018 11:53:03,10, 21.3,42, 1.4,99, 1012.8, 966.0, 0.0, 0.0, SW, 1.3, 1.4, 0.00, 0.00, 0.00, 0.00, 0.00
9, 12.12.2018 12:03:03,10, 21.3,42, 1.7,99, 1012.8, 966.0, 0.0, 0.0, E, 1.6, 1.7, 0.00, 0.00, 0.00, 0.00, 0.00
10, 12.12.2018 12:13:03,10, 21.2,42, 1.9,99, 1012.8, 966.0, 0.0, 0.0, SW, 1.8, 1.9, 0.00, 0.00, 0.00, 0.00, 0.00
11, 12.12.2018 12:23:03,10, 21.2,42, 1.7,97, 1012.9, 966.1, 0.0, 0.0, SW, 1.3, 1.7, 0.30, 0.30, 0.30, 0.30, 0.30
12, 12.12.2018 12:33:03,10, 21.1,42, 1.5,95, 1012.9, 966.1, 0.0, 0.0, NW, 0.8, 1.5, 0.30, 0.30, 0.30, 0.30, 0.30
13, 12.12.2018 12:43:03,10, 21.0,42, 1.5,95, 1013.0, 966.2, 0.0, 0.0, SW, 0.8, 1.5, 0.30, 0.30, 0.30, 0.30, 0.30
14, 12.12.2018 12:53:03,10, 21.0,42, 1.9,96, 1013.1, 966.3, 0.0, 0.0, S, 1.3, 1.9, 0.30, 0.30, 0.30, 0.30, 0.30
15, 12.12.2018 13:03:03,10, 20.9,42, 2.2,96, 1013.0, 966.2, 0.0, 0.0, S, 1.6, 2.2, 0.00, 0.30, 0.30, 0.30, 0.30
16, 12.12.2018 13:13:03,10, 20.9,42, 2.1,95, 1013.2, 966.4, 0.0, 0.0, W, 1.4, 2.1, 0.00, 0.30, 0.30, 0.30, 0.30
17, 12.12.2018 13:23:03,10, 20.8,42, 2.0,94, 1013.3, 966.5, 0.0, 0.0, W, 1.1, 2.0, 0.00, 0.30, 0.30, 0.30, 0.30
18, 12.12.2018 13:33:03,10, 20.7,43, 1.9,94, 1013.3, 966.5, 0.0, 0.0, W, 1.0, 1.9, 0.00, 0.30, 0.30, 0.30, 0.30
