NO.,?as,Interval,Vnit?ní teplota(°C),Vnit?ní vlhkost(%),Venkovní teplota(°C),Venkovní vlhkost(%),Relativní tlak vzduchu(hpa),Absolutní tlak vzduchu(hpa),Rychlost v?tru(m/s),Nárazy v?tru(m/s),Sm?r v?tru,Rosný bod(°C),WindChill(°C),Hodinový úhrn srážek(mm),Denní úhrn srážek(mm),Týdenní úhrn srážek(mm),M?sí?ní úhrn srážek(mm),Celkový úhrn srážek(mm),
49, 01.04.2020 0:06:29,10, 20.4,36, 16.6,11, 1026.0, 979.2, 0.3, 2.7, W, -14.0, 16.6, 0.00, 0.00, 0.00, 0.00, 7.80,špatná data celý m?síc
50, 01.04.2020 0:16:29,10, 20.2,32, 11.3,20, 1024.0, 977.2, 0.0, 0.0, W, -10.9, 11.3, 0.00, 0.00, 0.00, 0.00, 7.80,
51, 01.04.2020 0:26:29,10, 20.2,32, 12.4,15, 1023.9, 977.1, 0.0, 0.0, W, -13.5, 12.4, 0.00, 0.00, 0.00, 0.00, 7.80,
52, 01.04.2020 0:36:29,10, 20.2,32, 11.3,20, 1024.0, 977.2, 0.0, 0.0, W, -10.9, 11.3, 0.00, 0.00, 0.00, 0.00, 7.80,
53, 01.04.2020 0:46:29,10, 20.2,33, 10.6,19, 1024.2, 977.4, 0.0, 0.3, W, -12.1, 10.6, 0.00, 0.00, 0.00, 0.00, 7.80,
54, 01.04.2020 0:56:29,10, 20.2,33, 9.8,23, 1024.3, 977.5, 0.0, 0.0, W, -10.4, 9.8, 0.00, 0.00, 0.00, 0.00, 7.80,
55, 01.04.2020 1:06:29,10, 20.2,33, 9.1,25, 1024.5, 977.7, 0.7, 2.0, W, -9.9, 9.1, 0.00, 0.00, 0.00, 0.00, 7.80,
56, 01.04.2020 1:16:29,10, 20.2,34, 8.4,27, 1024.6, 977.8, 0.0, 1.0, W, -9.5, 8.4, 0.00, 0.00, 0.00, 0.00, 7.80,
57, 01.04.2020 1:26:29,10, 20.2,34, 7.9,29, 1024.7, 977.9, 1.0, 2.4, W, -9.0, 7.9, 0.00, 0.00, 0.00, 0.00, 7.80,
58, 01.04.2020 1:36:29,10, 20.2,34, 7.3,29, 1024.8, 978.0, 0.0, 0.0, W, -9.6, 7.3, 0.00, 0.00, 0.00, 0.00, 7.80,
59, 01.04.2020 1:46:29,10, 20.1,34, 6.8,32, 1024.8, 978.0, 0.0, 0.0, W, -8.7, 6.8, 0.00, 0.00, 0.00, 0.00, 7.80,
60, 01.04.2020 1:56:29,10, 20.1,34, 6.3,32, 1024.9, 978.1, 0.0, 0.0, W, -9.2, 6.3, 0.00, 0.00, 0.00, 0.00, 7.80,
61, 01.04.2020 2:06:29,10, 20.1,34, 6.1,34, 1025.0, 978.2, 0.3, 1.7, W, -8.6, 6.1, 0.00, 0.00, 0.00, 0.00, 7.80,
62, 01.04.2020 2:16:29,10, 20.1,35, 5.8,35, 1025.1, 978.3, 0.0, 0.0, W, -8.5, 5.8, 0.00, 0.00, 0.00, 0.00, 7.80,
63, 01.04.2020 2:26:29,10, 20.1,35, 5.6,35, 1025.3, 978.5, 0.0, 0.0, W, -8.7, 5.6, 0.00, 0.00, 0.00, 0.00, 7.80,
64, 01.04.2020 2:36:29,10, 20.1,35, 5.3,36, 1025.3, 978.5, 0.0, 0.0, W, -8.6, 5.3, 0.00, 0.00, 0.00, 0.00, 7.80,
