NO.,Čas,Interval,Vnitřní teplota(°C),Vnitřní vlhkost(%),Venkovní teplota(°C),Venkovní vlhkost(%),Relativní tlak vzduchu(mmHg),Absolutní tlak vzduchu(mmHg),Rychlost větru(m/s),Nárazy větru(m/s),Směr větru,Rosný bod(°C),WindChill(°C),Hodinový úhrn srážek(mm),Denní úhrn srážek(mm),Týdenní úhrn srážek(mm),Měsíční úhrn srážek(mm),Celkový úhrn srážek(mm)
2088,01.03.2021 0:08:29,14,21.0,45,-0.1,75,774.0,731.5,0.0,0.0,W,-4.0,-0.1,0.00,0.00,0.00,0.00,4.20
2089,01.03.2021 0:22:29,14,21.0,45,0.0,75,774.0,731.5,0.0,0.0,W,-3.9,0.0,0.00,0.00,0.00,0.00,4.20
2090,01.03.2021 0:36:29,14,21.0,45,0.1,76,774.1,731.6,0.0,0.0,W,-3.6,0.1,0.00,0.00,0.00,0.00,4.20
2091,01.03.2021 0:50:29,14,21.0,45,0.2,76,773.9,731.3,0.0,0.0,W,-3.5,0.2,0.00,0.00,0.00,0.00,4.20
2092,01.03.2021 1:04:29,14,21.0,44,0.3,76,773.9,731.3,0.0,0.0,W,-3.4,0.3,0.00,0.00,0.00,0.00,4.20
2093,01.03.2021 1:18:29,14,21.0,44,0.4,76,773.9,731.3,0.0,0.0,W,-3.3,0.4,0.00,0.00,0.00,0.00,4.20
2094,01.03.2021 1:32:29,14,21.0,44,0.5,77,773.9,731.4,0.0,0.0,W,-3.1,0.5,0.00,0.00,0.00,0.00,4.20
2095,01.03.2021 1:46:29,14,21.0,44,0.6,77,774.0,731.5,0.0,0.0,W,-3.0,0.6,0.00,0.00,0.00,0.00,4.20
2096,01.03.2021 2:00:29,14,21.0,44,1.0,78,773.8,731.3,0.0,0.0,W,-2.4,1.0,0.00,0.00,0.00,0.00,4.20
2097,01.03.2021 2:14:29,14,20.9,44,2.0,81,773.7,731.2,0.0,1.7,W,-0.9,2.0,0.00,0.00,0.00,0.00,4.20
2098,01.03.2021 2:28:29,14,20.9,44,3.0,82,773.6,731.0,0.0,0.0,W,0.2,3.0,0.00,0.00,0.00,0.00,4.20
2099,01.03.2021 2:42:29,14,20.9,44,3.3,82,773.7,731.2,0.0,0.0,W,0.5,3.3,0.00,0.00,0.00,0.00,4.20
2100,01.03.2021 2:56:29,14,20.9,44,3.3,82,773.6,731.0,0.3,3.4,W,0.5,3.3,0.00,0.00,0.00,0.00,4.20
2101,01.03.2021 3:10:29,14,20.9,44,3.3,82,773.7,731.2,0.0,0.0,W,0.5,3.3,0.00,0.00,0.00,0.00,4.20
2102,01.03.2021 3:24:29,14,20.9,44,3.2,81,773.8,731.3,0.0,0.0,W,0.3,3.2,0.00,0.00,0.00,0.00,4.20
2103,01.03.2021 3:38:29,14,20.8,44,3.1,81,773.7,731.2,0.0,0.0,W,0.2,3.1,0.00,0.00,0.00,0.00,4.20
2104,01.03.2021 3:52:29,14,20.8,44,3.1,81,773.7,731.2,1.0,2.4,W,0.2,3.1,0.00,0.00,0.00,0.00,4.20
2105,01.03.2021 4:06:29,14,20.8,44,3.0,82,773.6,731.1,0.0,0.0,W,0.2,3.0,0.00,0.00,0.00,0.00,4.20
2106,01.03.2021 4:20:29,14,20.8,44,3.0,82,773.7,731.2,0.0,2.4,W,0.2,3.0,0.00,0.00,0.00,0.00,4.20
2107,01.03.2021 4:34:29,14,20.8,44,2.8,82,773.5,731.0,0.0,0.0,W,0.0,2.8,0.00,0.00,0.00,0.00,4.20
2108,01.03.2021 4:48:29,14,20.8,44,2.8,83,773.6,731.1,0.0,0.0,W,0.2,2.8,0.00,0.00,0.00,0.00,4.20
2109,01.03.2021 5:02:29,14,20.7,43,2.8,83,773.8,731.3,0.0,0.0,W,0.2,2.8,0.00,0.00,0.00,0.00,4.20
2110,01.03.2021 5:16:29,14,20.7,43,2.8,83,773.7,731.2,0.0,0.0,W,0.2,2.8,0.00,0.00,0.00,0.00,4.20
2111,01.03.2021 5:30:29,14,20.7,43,2.8,83,773.8,731.3,0.0,0.0,W,0.2,2.8,0.00,0.00,0.00,0.00,4.20
2112,01.03.2021 5:44:29,14,20.7,43,2.7,84,773.8,731.3,0.0,0.0,W,0.3,2.7,0.00,0.00,0.00,0.00,4.20
2113,01.03.2021 5:58:29,14,20.7,43,2.6,84,773.9,731.3,0.0,0.0,W,0.2,2.6,0.00,0.00,0.00,0.00,4.20
